Date;Time;G-Force;Voltage;Temperature
15-05-2020;09:03:24;1,157431;4,194947;30,14548
15-05-2020;09:03:25;0,8766907;4,194947;30,12403
15-05-2020;09:03:26;0,9671614;4,194947;30,1133
15-05-2020;09:03:26;1,021514;4,194947;30,12403
15-05-2020;09:03:27;1,038612;4,194947;30,10258
15-05-2020;09:03:27;1,04633;4,194947;30,12403
15-05-2020;09:03:28;1,010473;4,194947;30,13475
15-05-2020;09:03:28;1,006508;4,194947;30,13475
15-05-2020;09:03:29;1,033132;4,194947;30,12403
15-05-2020;09:03:29;1,020689;4,194947;30,1133
15-05-2020;09:03:30;1,021684;4,194947;30,1133
15-05-2020;09:03:30;1,00755;4,194947;30,10258
15-05-2020;09:03:31;1,004314;4,194947;30,1133
15-05-2020;09:03:31;1,021133;4,194947;30,1133
15-05-2020;09:03:32;1,010385;4,194947;30,1133
15-05-2020;09:03:33;1,00901;4,194947;30,10258
15-05-2020;09:03:33;1,014562;4,194947;30,10258
15-05-2020;09:03:34;1,027081;4,194947;30,09185
15-05-2020;09:03:34;1,035179;4,194947;30,09185
15-05-2020;09:03:35;1,018217;4,194947;30,10258
15-05-2020;09:03:35;1,016066;4,194947;30,08113
15-05-2020;09:03:36;1,015555;4,194947;30,10258
15-05-2020;09:13:31;1,047173;4,194947;28,39729
15-05-2020;09:13:32;0,9922833;4,194947;28,38656
15-05-2020;09:13:32;1,070446;4,194947;28,37584
15-05-2020;09:13:33;0,9846024;4,194947;28,37584
15-05-2020;09:13:33;0,9840831;4,194947;28,37584
15-05-2020;09:13:34;1,059769;4,194947;28,37584
15-05-2020;09:13:34;0,9782331;4,194947;28,37584
15-05-2020;09:13:35;1,005323;4,194947;28,37584
15-05-2020;09:13:35;1,057046;4,194947;28,37584
15-05-2020;09:13:36;0,9821785;4,194947;28,38656
15-05-2020;09:13:36;1,018397;4,194947;28,36511
15-05-2020;09:13:37;0,9855145;4,194947;28,37584
15-05-2020;09:13:37;1,016524;4,194947;28,37584
15-05-2020;09:13:38;0,9466156;4,194947;28,39729
15-05-2020;09:13:39;0,9964864;4,194947;28,39729
15-05-2020;09:13:39;1,045185;4,194947;28,38656
15-05-2020;09:13:40;0,9747819;4,194947;28,36511
15-05-2020;09:13:40;0,9812359;4,194947;28,37584
15-05-2020;09:13:41;1,010183;4,194947;28,37584
15-05-2020;09:13:41;1,032416;4,194947;28,36511
15-05-2020;09:13:42;0,9825828;4,194947;28,37584
15-05-2020;09:13:42;1,01779;4,194947;28,37584
15-05-2020;09:13:43;1,03831;4,194947;28,36511
15-05-2020;09:13:43;1,030928;4,194947;28,37584
15-05-2020;09:13:44;1,014171;4,194947;28,37584
15-05-2020;09:13:57;0,9634704;4,194947;28,36511
15-05-2020;09:13:58;0,9751672;4,194947;28,36511
15-05-2020;09:13:59;0,9018856;4,194947;28,37584
15-05-2020;09:13:59;0,9925236;4,194947;28,37584
15-05-2020;09:14:00;1,000092;4,194947;28,37584
15-05-2020;09:14:00;0,7926491;4,194947;28,40801
15-05-2020;09:14:01;1,047309;4,194947;28,39729
15-05-2020;09:14:01;0,9328192;4,194947;28,37584
15-05-2020;09:14:02;0,8755398;4,194947;28,37584
15-05-2020;09:14:02;1,007881;4,194947;28,39729
15-05-2020;09:14:03;0,9608277;4,194947;28,37584
15-05-2020;09:14:04;1,090351;4,194947;28,37584
15-05-2020;09:14:04;0,9575337;4,194947;28,38656
15-05-2020;09:14:05;0,983643;4,194947;28,39729
15-05-2020;09:14:05;0,9069667;4,194947;28,36511
15-05-2020;09:14:06;1,006814;4,194947;28,40801
15-05-2020;09:14:06;1,025066;4,194947;28,37584
15-05-2020;09:14:07;1,068386;4,194947;28,38656
15-05-2020;09:14:07;0,9859316;4,194947;28,37584
15-05-2020;09:14:15;1,087933;4,194947;28,39729
15-05-2020;09:14:16;1,010929;4,194947;28,38656
15-05-2020;09:14:16;0,9992968;4,194947;28,41874
15-05-2020;09:14:17;1,03981;4,194947;28,39729
15-05-2020;09:14:17;1,003082;4,194947;28,41874
15-05-2020;09:14:18;1,018363;4,194947;28,41874
15-05-2020;09:14:18;0,9750709;4,194947;28,40801
15-05-2020;09:14:19;0,979629;4,194947;28,39729
15-05-2020;09:14:19;1,001966;4,194947;28,39729
